date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:02	189897/189897	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202023%2004:53:59%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Ni-Putu-Ramiani.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Ni-Putu-Ramiani.jpg	(from https://ptsridewibaruna.co.id/id/)
20:37:02	105384/105384	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202023%2004:53:59%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Putu-Teguh-Adhiatna.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Putu-Teguh-Adhiatna.jpg	(from https://ptsridewibaruna.co.id/id/)
20:37:03	73030/73030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202023%2004:53:56%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Andika-Sanjaya.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Andika-Sanjaya.jpg	(from https://ptsridewibaruna.co.id/id/)
20:37:03	14991/14991	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202023%2004:53:59%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/MLC_1-1-640w.png	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/MLC_1-1-640w.png	(from https://ptsridewibaruna.co.id/id/)
20:37:03	14022/14022	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202023%2004:54:00%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/logo-nib.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/logo-nib.jpg	(from https://ptsridewibaruna.co.id/id/)
20:37:05	370636/370636	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202023%2004:53:59%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Partner-BV.png	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Partner-BV.png	(from https://ptsridewibaruna.co.id/id/)
20:37:06	297830/297830	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202023%2004:53:58%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Logo-IBPE-award.png	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Logo-IBPE-award.png	(from https://ptsridewibaruna.co.id/id/)
20:37:07	449142/449142	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202023%2004:53:58%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Logo-EQS-award.png	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Logo-EQS-award.png	(from https://ptsridewibaruna.co.id/id/)
20:37:10	199517/199517	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202023%2004:53:58%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/03/Logo-CCS-award.png	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/03/Logo-CCS-award.png	(from https://ptsridewibaruna.co.id/id/)
20:37:11	14155/14155	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2004:53:08%20GMT	https://ptsridewibaruna.co.id/wp-content/plugins/elementor-pro/assets/css/widget-posts.min.css	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/plugins/elementor-pro/assets/css/widget-posts.min.css	(from https://ptsridewibaruna.co.id/id/)
20:37:11	393126/393126	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Aug%202023%2006:14:12%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/08/The-Dawn-of-Desert-Cruising-The-Rise-of-Cruise-Tourism-in-Saudi-Arabia.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/08/The-Dawn-of-Desert-Cruising-The-Rise-of-Cruise-Tourism-in-Saudi-Arabia.jpg	(from https://ptsridewibaruna.co.id/id/)
